r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Josh Koscheck,Paul Daley,2010-05-08,Dan Miragliotta,Red,12-4-0,4,0,12,0,0,4,4,0,5,3,0,2-0-0,0,0,2,0,0,0,0,0,2,0,0,0.32,41.21,15.24,2.26,1.05,0.5,137.1,0.5,41.5,17.5,0.0,0.0,0.0,1.5
Kevin Ferguson,Matt Mitrione,2010-05-08,Dan Miragliotta,Blue,1-0-0,0,0,1,0,0,1,1,0,0,0,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,66.0,27.0,4.0,4.0,1.0,199.0,1.0,34.0,14.0,0.0,0.0,0.0,63.0
Lyoto Machida,Mauricio Rua,2010-05-08,Yves Lavigne,Blue,8-0-0,0,0,8,0,0,5,5,0,2,1,0,2-2-0,2,0,2,0,0,0,0,0,2,0,0,1.11,78.67,32.82,1.02,0.38,0.18,72.31,0.5,103.12,57.12,4.0,0.75,0.25,150.0
Marcus Davis,Jonathan Goulet,2010-05-08,Philippe Chartier,Red,8-4-0,4,0,8,0,0,1,1,1,2,4,0,4-4-0,4,0,4,1,1,0,0,0,1,1,1,0.02,49.28,19.04,2.88,0.67,0.89,134.44,0.5,24.05,10.05,1.11,0.53,0.13,45.63
Patrick Cote,Alan Belcher,2010-05-08,Mario Yamasaki,Blue,4-5-0,5,0,4,0,0,1,1,1,2,0,0,6-4-0,4,0,6,0,0,0,0,1,2,2,1,0.2,49.82,18.95,1.74,0.04,0.06,57.32,0.75,78.26,35.09,0.06,0.04,0.14,31.58
Sam Stout,Jeremy Stephens,2010-05-08,Mario Yamasaki,Blue,4-4-0,4,0,4,0,0,3,3,1,0,0,0,4-4-0,4,0,4,0,0,1,1,0,2,0,1,0.25,235.4,75.08,0.19,0.12,0.0,125.06,1.08,46.04,24.63,0.28,0.22,0.09,75.12
TJ Grant,Johny Hendricks,2010-05-08,Marc-Andre Cote,Blue,2-1-0,1,0,2,0,0,0,0,1,1,0,0,2-0-0,0,0,2,0,0,1,1,0,1,0,0,0.5,50.0,28.0,3.75,1.5,0.0,158.5,0.5,49.0,28.0,7.0,3.5,2.0,300.0
Tom Lawlor,Joe Doerksen,2010-05-08,Yves Lavigne,Blue,2-1-0,1,0,2,0,0,1,1,0,0,1,0,1-5-0,5,0,1,0,0,0,0,0,0,1,0,0.0,69.75,29.5,7.75,2.25,1.25,249.0,0.12,19.66,8.47,3.47,1.31,2.44,171.34
Yoshiyuki Yoshida,Mike Guymon,2010-05-08,Philippe Chartier,Blue,2-2-0,2,0,2,0,0,0,0,0,0,2,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,4.5,1.88,0.12,0.12,0.38,21.5,0.0,18.0,6.0,3.0,0.0,0.0,8.0
Aaron Riley,Joe Brammer,2010-05-29,Steve Mazzagatti,Red,2-4-0,4,0,2,0,0,2,2,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,86.78,28.62,2.53,0.62,0.03,141.41,0.0,19.0,3.0,0.0,0.0,0.0,5.0
