b_fighter,gender,weightclass,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,b_record,b_losses,b_draws,b_wins,b_winbydecisionmajority,b_winbydecisionunanimous,b_winsbydecisionmajority,b_winsbydecisionsplit,b_winsbydecisionunanimous,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,b_matchwcrank,b_pfprank
Chris Indich,MALE,Welterweight,26.0,Orthodox,177.8,185.42,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Sean O'Connell,MALE,Light Heavyweight,30.0,Orthodox,185.42,187.96,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
KJ Noons,MALE,Welterweight,31.0,Orthodox,177.8,182.88,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Leslie Smith,FEMALE,Women's Bantamweight,31.0,Orthodox,175.26,167.64,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Elias Theodorou,MALE,Middleweight,25.0,Orthodox,185.42,190.5,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Yoel Romero,MALE,Middleweight,36.0,Southpaw,182.88,185.42,185.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,14.0,
Luke Zachrich,MALE,Middleweight,32.0,Orthodox,187.96,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jack May,MALE,Heavyweight,33.0,Switch,203.2,200.66,255.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Edson Barboza,MALE,Lightweight,28.0,Orthodox,180.34,190.5,155.0,7.0-1.0-0.0,1.0,0.0,7.0,1.0,1.0,1.0,,1.0,4.0,0.0,0.0,12.0,
Ray Borg,MALE,Flyweight,20.0,Orthodox,162.56,160.02,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Alex White,MALE,Featherweight,25.0,Southpaw,182.88,180.34,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Travis Browne,MALE,Heavyweight,31.0,Orthodox,198.12,200.66,255.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,1.0,0.0,,1.0,5.0,1.0,0.0,3.0,
Hernani Perpetuo,MALE,Welterweight,28.0,Orthodox,182.88,187.96,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Pat Healy,MALE,Lightweight,30.0,Orthodox,182.88,187.96,155.0,0.0-4.0-0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Liz Carmouche,FEMALE,Women's Bantamweight,30.0,Orthodox,167.64,167.64,125.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,7.0,
Chas Skelly,MALE,Featherweight,28.0,Orthodox,180.34,182.88,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Khabib Nurmagomedov,MALE,Lightweight,25.0,Orthodox,177.8,177.8,155.0,5.0-0.0-0.0,0.0,0.0,5.0,0.0,3.0,0.0,,3.0,1.0,1.0,0.0,7.0,
Seth Baczynski,MALE,Welterweight,32.0,Orthodox,190.5,187.96,170.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Patrick Williams,MALE,Bantamweight,32.0,Orthodox,172.72,185.42,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Charlie Brenneman,MALE,Lightweight,33.0,Orthodox,177.8,182.88,155.0,4.0-5.0-0.0,5.0,0.0,4.0,0.0,4.0,0.0,,4.0,0.0,0.0,0.0,,
Bethe Correia,FEMALE,Women's Bantamweight,30.0,Orthodox,165.1,162.56,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,
Yancy Medeiros,MALE,Lightweight,26.0,Orthodox,177.8,190.5,155.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Glover Teixeira,MALE,Light Heavyweight,34.0,Orthodox,187.96,193.04,205.0,5.0-0.0-0.0,0.0,0.0,5.0,0.0,1.0,0.0,,1.0,1.0,2.0,1.0,2.0,
Tim Elliott,MALE,Flyweight,27.0,Southpaw,170.18,167.64,135.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Tim Boetsch,MALE,Middleweight,33.0,Orthodox,182.88,187.96,185.0,8.0-5.0-0.0,5.0,0.0,8.0,0.0,3.0,0.0,,3.0,3.0,0.0,0.0,13.0,
Andre Fili,MALE,Featherweight,23.0,Orthodox,180.34,187.96,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Anthony Johnson,MALE,Light Heavyweight,30.0,Orthodox,187.96,198.12,205.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,1.0,0.0,,1.0,6.0,0.0,0.0,14.0,
Isaac Vallie-Flagg,MALE,Lightweight,36.0,Orthodox,172.72,172.72,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Albert Tumenov,MALE,Welterweight,22.0,Orthodox,180.34,185.42,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Louis Smolka,MALE,Flyweight,22.0,Orthodox,175.26,172.72,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Lorenz Larkin,MALE,Middleweight,27.0,Orthodox,180.34,182.88,170.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Rafael Natal,MALE,Middleweight,31.0,Orthodox,182.88,193.04,185.0,5.0-4.0-0.0,4.0,0.0,5.0,0.0,4.0,0.0,,4.0,0.0,1.0,0.0,,
Johnny Eduardo,MALE,Bantamweight,35.0,Orthodox,170.18,180.34,135.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Daron Cruickshank,MALE,Lightweight,28.0,Switch,172.72,182.88,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Ben Wall,MALE,Lightweight,25.0,Orthodox,177.8,185.42,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Darrell Montague,MALE,Flyweight,26.0,Southpaw,167.64,170.18,125.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,
Nik Lentz,MALE,Featherweight,29.0,Orthodox,172.72,172.72,155.0,8.0-5.0-0.0,5.0,0.0,8.0,0.0,5.0,0.0,,5.0,1.0,1.0,0.0,9.0,
Erick Silva,MALE,Welterweight,29.0,Orthodox,182.88,187.96,170.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,14.0,
Tim Means,MALE,Welterweight,30.0,Orthodox,187.96,190.5,170.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Ruan Potts,MALE,Heavyweight,36.0,Orthodox,187.96,190.5,247.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Zak Cummings,MALE,Welterweight,29.0,Southpaw,182.88,190.5,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Mitch Clarke,MALE,Lightweight,28.0,Orthodox,177.8,185.42,155.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Vinc Pichel,MALE,Lightweight,31.0,Orthodox,177.8,182.88,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Chico Camus,MALE,Bantamweight,29.0,Orthodox,167.64,167.64,125.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Dan Henderson,MALE,Light Heavyweight,43.0,Orthodox,180.34,187.96,185.0,7.0-5.0-0.0,5.0,0.0,7.0,0.0,3.0,0.0,,3.0,2.0,0.0,0.0,6.0,
Li Jingliang,MALE,Welterweight,26.0,Orthodox,182.88,180.34,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
James Krause,MALE,Lightweight,27.0,Orthodox,187.96,185.42,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Francisco Trinaldo,MALE,Lightweight,35.0,Southpaw,175.26,177.8,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,
TJ Dillashaw,MALE,Bantamweight,28.0,Orthodox,167.64,170.18,125.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,2.0,0.0,,2.0,2.0,1.0,0.0,4.0,
Jake Ellenberger,MALE,Welterweight,29.0,Orthodox,175.26,180.34,170.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,2.0,0.0,,2.0,4.0,0.0,1.0,5.0,
Aaron Phillips,MALE,Featherweight,24.0,Southpaw,175.26,177.8,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Francisco Rivera,MALE,Bantamweight,32.0,Orthodox,172.72,172.72,135.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,10.0,
Katsunori Kikuno,MALE,Lightweight,32.0,Orthodox,172.72,167.64,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Maximo Blanco,MALE,Featherweight,30.0,Orthodox,172.72,180.34,145.0,1.0-3.0-0.0,3.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Alexander Yakovlev,MALE,Welterweight,29.0,Southpaw,190.5,187.96,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ernest Chavez,MALE,Lightweight,30.0,Orthodox,172.72,177.8,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
CB Dollaway,MALE,Middleweight,30.0,Orthodox,187.96,193.04,185.0,8.0-5.0-0.0,5.0,0.0,8.0,0.0,3.0,0.0,,3.0,2.0,2.0,0.0,,
Mark Eddiva,MALE,Featherweight,28.0,Orthodox,172.72,172.72,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Sean Strickland,MALE,Middleweight,23.0,Orthodox,185.42,193.04,170.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Krzysztof Jotko,MALE,Middleweight,24.0,Southpaw,185.42,195.58,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Warlley Alves,MALE,Middleweight,23.0,Orthodox,180.34,182.88,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Richardson Moreira,MALE,Heavyweight,30.0,Orthodox,187.96,182.88,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gegard Mousasi,MALE,Middleweight,28.0,Orthodox,187.96,193.04,185.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,11.0,
Drew Dober,MALE,Lightweight,25.0,Southpaw,172.72,177.8,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gasan Umalatov,MALE,Welterweight,31.0,Orthodox,180.34,180.34,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Matt Hobar,MALE,Bantamweight,27.0,Southpaw,177.8,177.8,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Pawel Pawlak,MALE,Welterweight,25.0,Orthodox,182.88,185.42,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Wagner Silva,MALE,Middleweight,27.0,Orthodox,182.88,180.34,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rashid Magomedov,MALE,Lightweight,29.0,Orthodox,175.26,177.8,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Robert Peralta,MALE,Featherweight,28.0,Orthodox,172.72,180.34,145.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Fabio Maldonado,MALE,Heavyweight,34.0,Orthodox,185.42,190.5,205.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Niklas Backstrom,MALE,Featherweight,24.0,Orthodox,185.42,187.96,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Iuri Alcantara,MALE,Bantamweight,33.0,Southpaw,175.26,180.34,135.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,7.0,
Ruslan Magomedov,MALE,Heavyweight,27.0,Orthodox,190.5,198.12,242.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Antonio Carlos Junior,MALE,Heavyweight,24.0,Orthodox,187.96,200.66,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rustam Khabilov,MALE,Lightweight,27.0,Orthodox,172.72,185.42,155.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,11.0,
Lance Benoist,MALE,Welterweight,25.0,Southpaw,180.34,185.42,170.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Ross Pearson,MALE,Lightweight,29.0,Orthodox,172.72,175.26,155.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,4.0,0.0,,4.0,2.0,0.0,1.0,,
Bryan Caraway,MALE,Bantamweight,29.0,Orthodox,172.72,172.72,135.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,14.0,
John Moraga,MALE,Flyweight,30.0,Orthodox,167.64,167.64,125.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,5.0,
Jake Lindsey,MALE,Lightweight,27.0,Switch,180.34,180.34,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Roger Narvaez,MALE,Light Heavyweight,30.0,Southpaw,190.5,200.66,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jason High,MALE,Lightweight,32.0,Southpaw,172.72,180.34,155.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Danny Martinez,MALE,Flyweight,28.0,Orthodox,167.64,170.18,125.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Sergio Pettis,MALE,Bantamweight,20.0,Orthodox,167.64,175.26,135.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Piotr Hallmann,MALE,Lightweight,26.0,Orthodox,175.26,180.34,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Brendan Schaub,MALE,Heavyweight,31.0,Orthodox,193.04,198.12,245.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,2.0,0.0,,2.0,3.0,1.0,0.0,14.0,
Kiichi Kunimoto,MALE,Welterweight,33.0,Orthodox,177.8,180.34,170.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ali Bagautinov,MALE,Flyweight,29.0,Orthodox,162.56,165.1,125.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,4.0,
Josh Shockley,MALE,Lightweight,24.0,Orthodox,185.42,187.96,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tae Hyun Bang,MALE,Lightweight,31.0,Switch,175.26,180.34,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ryan Jimmo,MALE,Light Heavyweight,32.0,Orthodox,185.42,185.42,205.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Michinori Tanaka,MALE,Bantamweight,23.0,Orthodox,165.1,170.18,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tyron Woodley,MALE,Welterweight,32.0,Orthodox,175.26,187.96,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,3.0,
Rafael Feijao,MALE,Light Heavyweight,34.0,Orthodox,185.42,185.42,205.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Elizabeth Phillips,FEMALE,Women's Bantamweight,27.0,Orthodox,167.64,165.1,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mike Easton,MALE,Bantamweight,30.0,Southpaw,167.64,177.8,135.0,3.0-3.0-0.0,3.0,0.0,3.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,8.0,
Anthony Hamilton,MALE,Heavyweight,34.0,Orthodox,195.58,193.04,260.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Andrew Craig,MALE,Middleweight,28.0,Orthodox,185.42,193.04,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Vik Grujic,MALE,Welterweight,37.0,Orthodox,180.34,185.42,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Antonio Braga Neto,MALE,Middleweight,26.0,Orthodox,190.5,195.58,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Diego Ferreira,MALE,Lightweight,29.0,Orthodox,175.26,187.96,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jeremy Stephens,MALE,Featherweight,28.0,Orthodox,172.72,180.34,145.0,10.0-8.0-0.0,8.0,0.0,10.0,0.0,4.0,0.0,,4.0,4.0,0.0,1.0,11.0,
Ian Entwistle,MALE,Featherweight,27.0,Orthodox,165.1,162.56,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Sean O'Connell,MALE,Light Heavyweight,30.0,Orthodox,185.42,187.96,205.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Charles Oliveira,MALE,Featherweight,24.0,Orthodox,177.8,187.96,155.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,,
Dashon Johnson,MALE,Lightweight,26.0,Orthodox,170.18,177.8,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Nate Marquardt,MALE,Middleweight,35.0,Orthodox,182.88,187.96,185.0,10.0-6.0-0.0,6.0,0.0,10.0,0.0,4.0,0.0,,4.0,4.0,2.0,0.0,,
James Moontasri,MALE,Lightweight,26.0,Switch,177.8,180.34,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Cody Gibson,MALE,Bantamweight,26.0,Orthodox,177.8,180.34,135.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Nico Musoke,MALE,Welterweight,28.0,Orthodox,182.88,190.5,170.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Andy Enz,MALE,Middleweight,22.0,Orthodox,190.5,198.12,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rodrigo de Lima,MALE,Welterweight,23.0,Orthodox,170.18,190.5,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Shane Howell,MALE,Flyweight,30.0,Orthodox,172.72,175.26,125.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Hacran Dias,MALE,Featherweight,30.0,Orthodox,172.72,175.26,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Roldan Sangcha-an,MALE,Flyweight,23.0,Orthodox,162.56,165.1,125.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mike Rhodes,MALE,Welterweight,24.0,Orthodox,185.42,187.96,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jared Rosholt,MALE,Heavyweight,27.0,Orthodox,187.96,190.5,265.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Bruno Santos,MALE,Middleweight,26.0,Orthodox,175.26,175.26,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Lyoto Machida,MALE,Middleweight,36.0,Southpaw,185.42,187.96,185.0,13.0-4.0-0.0,4.0,0.0,13.0,0.0,6.0,0.0,,6.0,5.0,1.0,0.0,3.0,
Rob Font,MALE,Bantamweight,27.0,Orthodox,172.72,180.34,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ildemar Alcantara,MALE,Welterweight,31.0,Orthodox,187.96,198.12,185.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Guilherme Vasconcelos,MALE,Middleweight,28.0,Orthodox,182.88,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Russell Doane,MALE,Bantamweight,27.0,Orthodox,170.18,177.8,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Alexis Davis,FEMALE,Women's Bantamweight,29.0,Orthodox,167.64,172.72,125.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,2.0,
Thiago Santos,MALE,Middleweight,30.0,Orthodox,187.96,193.04,205.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Alex Caceres,MALE,Bantamweight,26.0,Southpaw,177.8,185.42,145.0,5.0-4.0-0.0,4.0,0.0,5.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,11.0,
Juan Puig,MALE,Lightweight,25.0,Orthodox,175.26,182.88,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Matt Van Buren,MALE,Light Heavyweight,28.0,Orthodox,195.58,193.04,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Guto Inocente,MALE,Heavyweight,28.0,Orthodox,190.5,195.58,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Eddie Gordon,MALE,Middleweight,30.0,Orthodox,182.88,193.04,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
BJ Penn,MALE,Featherweight,35.0,Orthodox,175.26,177.8,155.0,12.0-10.0-0.0,10.0,0.0,12.0,0.0,1.0,0.0,,1.0,6.0,4.0,1.0,,
Kevin Lee,MALE,Lightweight,21.0,Orthodox,175.26,195.58,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Leandro Issa,MALE,Bantamweight,30.0,Orthodox,170.18,175.26,135.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Dustin Ortiz,MALE,Flyweight,25.0,Orthodox,165.1,165.1,125.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,13.0,
Daniel Spohn,MALE,Light Heavyweight,29.0,Southpaw,193.04,200.66,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Alexis Dufresne,MALE,Catch Weight,23.0,Orthodox,175.26,172.72,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tina Lahdemaki,FEMALE,Women's Strawweight,26.0,Orthodox,157.48,157.48,115.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jim Miller,MALE,Lightweight,30.0,Southpaw,172.72,180.34,155.0,13.0-4.0-0.0,4.0,0.0,13.0,0.0,5.0,0.0,,5.0,2.0,6.0,0.0,7.0,
Evan Dunham,MALE,Lightweight,32.0,Southpaw,177.8,177.8,155.0,7.0-5.0-0.0,5.0,0.0,7.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,,
Pat Healy,MALE,Lightweight,30.0,Orthodox,182.88,187.96,155.0,0.0-5.0-0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Aljamain Sterling,MALE,Bantamweight,24.0,Orthodox,170.18,180.34,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
