r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,r_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
DaMarques Johnson,Brad Blackburn,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Dan Miragliotta,Red,KO/TKO,Kick,3,False,Welterweight,3,False,7.62,-5,5.08,140,27,26-30,Orthodox,-160,32,26-30,Orthodox,0.0,28.5,11.5,0.0,0.0,0.5,38.0,0.62,163.38,51.5,0.88,0.0,0.25,105.62,False,False,False,False,False,False,False,False
Jon Madsen,Mostapha Al-Turk,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Red,U-DEC,,3,False,Heavyweight,3,False,-5.08,-6,-12.7,-245,30,26-30,Orthodox,205,36,26-30,Orthodox,0.0,100.0,26.0,1.0,0.0,0.0,0.0,0.0,17.0,5.5,4.5,0.0,0.0,48.5,True,False,False,False,False,False,False,False
Kendall Grove,Mark Munoz,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Blue,KO/TKO,Punches,2,False,Middleweight,3,False,15.24,-5,17.78,160,27,26-30,Orthodox,-170,32,26-30,Orthodox,0.12,29.91,13.34,0.53,0.51,1.11,54.0,0.0,48.75,24.75,4.5,1.0,0.5,103.75,False,False,False,False,False,False,False,False
Matt Hughes,Renzo Gracie,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Herb Dean,Red,KO/TKO,Punches,3,False,Welterweight,3,False,-2.54,-7,7.62,-380,36,36-40,Switch,340,43,36-40,Orthodox,0.0,38.22,21.87,5.07,1.91,0.21,354.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Nick Osipczak,Rick Story,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Blue,S-DEC,,3,False,Welterweight,3,False,12.7,0,12.7,145,25,21-25,Orthodox,-165,25,21-25,Southpaw,0.0,65.5,30.0,0.5,0.5,1.0,193.0,0.0,117.5,33.25,3.5,2.75,2.0,258.75,True,False,False,False,False,False,False,False
Paul Kelly,Matt Veach,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Herb Dean,Red,SUB,Guillotine Choke,2,False,Lightweight,3,False,-5.08,-3,1.27,220,25,21-25,Orthodox,-260,28,21-25,Orthodox,0.0,96.44,27.44,2.75,1.25,0.56,241.75,0.5,35.5,9.5,6.0,2.0,0.0,102.0,False,False,False,False,False,False,False,False
Terry Etim,Rafael Dos Anjos,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Marc Goddard,Blue,SUB,Armbar,2,False,Lightweight,3,False,12.7,-1,7.62,-135,24,21-25,Orthodox,125,25,21-25,Southpaw,0.16,60.95,23.02,0.27,0.12,1.33,50.14,0.0,116.25,38.38,7.88,3.5,1.62,352.25,False,False,False,False,False,False,False,False
Jason MacDonald,John Salter,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Dan Miragliotta,Blue,KO/TKO,,1,False,Middleweight,3,False,5.08,9,15.24,-175,34,31-35,Orthodox,155,25,31-35,Southpaw,0.0,8.79,4.81,2.19,0.55,0.44,96.01,0.0,72.0,7.0,4.0,1.0,0.0,88.0,False,False,False,False,False,False,False,False
Joey Beltran,Tim Hague,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Mario Yamasaki,Red,U-DEC,,3,False,Heavyweight,3,False,-7.62,2,-2.54,190,28,26-30,Orthodox,-230,26,26-30,Orthodox,0.0,49.0,22.0,0.0,0.0,0.0,84.0,0.0,36.5,17.0,0.75,0.75,0.75,138.0,True,False,False,False,False,False,False,False
Josh Koscheck,Paul Daley,UFC 113: Machida vs Shogun 2,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,Dan Miragliotta,Red,U-DEC,,3,False,Welterweight,3,False,2.54,5,-7.62,-250,32,31-35,Orthodox,230,27,31-35,Orthodox,0.32,41.21,15.24,2.26,1.05,0.5,137.1,0.5,41.5,17.5,0.0,0.0,0.0,1.5,False,True,False,False,False,False,False,False
