r_name,b_name,date,month,year,gender,city,state,country,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,r_odds,r_age,r_stance,b_odds,b_age,b_stance,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion,r_undefeated,b_undefeated,r_age_range,b_age_range,heightdif,reachdif,agedif
Melvin Guillard,Waylon Lowe,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Knee,1.0,False,Lightweight,3.0,0.0,-370.0,27.0,Orthodox,310.0,29.0,Southpaw,False,False,False,False,False,False,False,True,26-30,26-30,5.08,7.72,-2.0
Michael Bisping,Dan Miller,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Middleweight,3.0,0.0,-195.0,31.0,Orthodox,180.0,28.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,0.0,2.54,3.0
Rampage Jackson,Rashad Evans,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,,,,False,Light Heavyweight,3.0,0.0,-109.0,31.0,Orthodox,-101.0,30.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,2.54,-5.08,1.0
Todd Duffee,Mike Russow,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punch,3.0,False,Heavyweight,3.0,0.0,-275.0,24.0,Orthodox,250.0,33.0,Orthodox,False,False,False,False,False,False,True,True,21-25,31-35,5.08,15.24,-9.0
Ben Rothwell,Gilbert Yvel,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,U-DEC,,3.0,False,Heavyweight,3.0,0.0,170.0,28.0,Orthodox,-185.0,33.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,5.08,2.54,-5.0
Carlos Condit,Rory MacDonald,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,KO/TKO,Punches,3.0,False,Welterweight,3.0,0.0,118.0,26.0,Orthodox,-128.0,20.0,Orthodox,False,False,False,False,False,False,False,True,26-30,16-20,5.08,-2.54,6.0
Chuck Liddell,Rich Franklin,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,KO/TKO,Punch,1.0,False,Light Heavyweight,3.0,0.0,-119.0,40.0,Orthodox,109.0,35.0,Southpaw,False,False,False,False,False,False,False,False,36-40,31-35,2.54,2.54,5.0
David Loiseau,Mario Miranda,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,KO/TKO,Elbows,2.0,False,Middleweight,3.0,0.0,205.0,30.0,Orthodox,-245.0,30.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-7.62,5.08,0.0
James Wilks,Peter Sobotta,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,U-DEC,,3.0,False,Welterweight,3.0,0.0,-325.0,32.0,Orthodox,265.0,23.0,Southpaw,False,False,False,False,False,False,False,False,31-35,21-25,2.54,0.0,9.0
Mac Danzig,Matt Wiman,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,SUB,Guillotine Choke,1.0,False,Lightweight,3.0,0.0,-102.0,30.0,Orthodox,-108.0,26.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-5.08,5.08,4.0
Mike Pyle,Jesse Lennox,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,SUB,Triangle Choke,3.0,False,Welterweight,3.0,0.0,110.0,34.0,Orthodox,-130.0,28.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,7.62,5.08,6.0
Mirko Cro Cop,Pat Barry,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,,,,False,Heavyweight,3.0,0.0,163.0,35.0,Southpaw,-173.0,30.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,7.62,-2.54,5.0
Paulo Thiago,Martin Kampmann,2010-06-12,6,2010,MALE,Vancouver,British Columbia,Canada,U-DEC,,3.0,False,Welterweight,3.0,0.0,-218.0,29.0,Orthodox,198.0,28.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-2.54,2.54,1.0
