"fighter","fights","wins","win_pct","avg_sig_str_rate","rank_sigstr","avg_td_landed","rank_td_landed","avg_ctrl_time_s","rank_ctrl_time","avg_avgkd","rank_avgkd","overall_rank"
"Jalin Turner","5","3","0.60","0.479","256","0.00","697","38.3","636","0.17","378","414"
"Mark Eddiva","5","1","0.20","0.508","177","2.20","84","359.9","19","0.00","552","415"
"Gerald Meerschaert","12","6","0.50","0.445","381","1.12","278","103.8","393","0.14","435","416"
"Travis Browne","16","9","0.56","0.440","404","0.62","444","69.2","530","0.31","215","417"
"Nate Marquardt","15","6","0.40","0.501","199","0.83","364","102.4","398","0.25","267","418"
"Daron Cruickshank","13","7","0.54","0.392","588","1.22","256","96.0","423","0.42","124","419"
"Shinsho Anzai","5","2","0.40","0.635","11","0.75","397","101.3","401","0.00","552","420"
"Jared Cannonier","11","6","0.55","0.522","135","0.09","682","28.5","671","0.28","235","421"
"Riki Fukuda","5","2","0.40","0.442","394","3.07","35","206.5","130","0.00","552","422"
"Renan Barao","17","9","0.53","0.380","627","1.59","161","142.5","278","0.23","295","423"
"Alex Garcia","11","5","0.45","0.355","677","2.59","49","155.7","252","0.45","108","424"
"Erick Silva","15","7","0.47","0.536","105","0.39","543","60.0","561","0.25","276","425"
"Michinori Tanaka","5","2","0.40","0.430","443","2.20","84","371.7","13","0.00","552","426"
"Eddie Alvarez","7","4","0.57","0.408","527","1.40","210","109.8","371","0.07","526","427"
"Clay Guida","20","11","0.55","0.318","717","1.74","135","246.5","88","0.15","416","428"
"Lyman Good","6","3","0.50","0.499","204","0.15","656","15.7","713","0.55","68","429"
"Gleison Tibau","18","10","0.56","0.332","711","2.90","40","179.4","180","0.11","472","430"
"Ben Nguyen","7","4","0.57","0.440","406","0.11","678","47.7","611","0.69","27","431"
"Felipe Arantes","11","5","0.45","0.490","221","0.81","377","131.9","306","0.09","504","432"
"Timothy Johnson","8","4","0.50","0.411","514","0.94","335","219.7","119","0.11","475","433"
"Robert Whiteford","5","2","0.40","0.506","185","0.97","324","113.3","363","0.15","417","434"
"Jussier Formiga","16","9","0.56","0.378","629","1.29","238","183.7","174","0.12","459","435"
"John Dodson","17","10","0.59","0.405","544","0.61","446","36.4","646","0.66","40","436"
"Daniel Pineda","9","4","0.44","0.527","121","0.68","422","83.7","470","0.11","473","437"
"Ovince Saint Preux","23","13","0.57","0.448","370","0.59","456","73.9","502","0.18","364","438"
"Fabio Maldonado","12","5","0.42","0.608","24","0.30","595","94.6","428","0.17","394","439"
"Kyle Kingsbury","7","3","0.43","0.424","469","2.36","66","157.7","247","0.14","441","440"
"Luke Sanders","7","3","0.43","0.523","132","0.14","664","61.6","558","0.48","94","441"
"David Branch","9","4","0.44","0.432","438","1.35","224","225.0","111","0.08","511","441"
"Angela Hill","17","8","0.47","0.511","163","0.34","577","87.2","451","0.22","314","443"
"Nico Musoke","8","4","0.50","0.406","533","1.10","284","223.6","114","0.00","552","444"
"Hacran Dias","9","3","0.33","0.453","360","2.80","43","296.1","42","0.00","552","445"
"Bryan Caraway","11","6","0.55","0.354","682","2.08","100","215.8","121","0.00","552","446"
"Zach Makovsky","7","3","0.43","0.409","519","3.55","19","204.5","136","0.00","552","447"
"Jeremy Stephens","25","11","0.44","0.413","507","0.97","325","113.9","359","0.64","46","448"
"Kevin Souza","5","4","0.80","0.408","525","0.00","697","0.2","745","0.10","484","449"
"Alexa Grasso","8","5","0.63","0.434","432","0.31","593","77.7","491","0.00","552","450"
"Matthew Lopez","6","2","0.33","0.506","181","1.63","152","157.6","248","0.00","552","451"
"Volkan Oezdemir","9","5","0.56","0.464","324","0.20","638","63.5","552","0.28","244","452"
