finish,finishdetails,winner,finishround,totalfighttimesecs
KO/TKO,Elbows,Red,3.0,803.0
SUB,Rear Naked Choke,Red,3.0,879.0
KO/TKO,Kick,Red,2.0,596.0
KO/TKO,Kick,Red,1.0,280.0
KO/TKO,Punches,Red,2.0,556.0
KO/TKO,Kick,Blue,1.0,25.0
KO/TKO,Punch,Blue,2.0,452.0
KO/TKO,Punch,Red,1.0,222.0
SUB,Triangle Choke,Red,3.0,760.0
KO/TKO,Punches,Red,1.0,52.0
KO/TKO,Punch,Red,1.0,79.0
KO/TKO,Elbows,Red,3.0,843.0
KO/TKO,Punches,Blue,1.0,84.0
KO/TKO,Punches,Blue,1.0,223.0
KO/TKO,Knee,Red,1.0,66.0
KO/TKO,Elbow,Red,3.0,662.0
KO/TKO,Punch,Red,1.0,299.0
KO/TKO,Knee,Red,2.0,378.0
SUB,Guillotine Choke,Blue,1.0,182.0
SUB,Guillotine Choke,Red,1.0,276.0
KO/TKO,Kick,Red,1.0,264.0
KO/TKO,,Blue,2.0,420.0
KO/TKO,Knee,Red,3.0,777.0
SUB,Other - Choke,Red,1.0,89.0
KO/TKO,Punch,Blue,1.0,39.0
KO/TKO,Flying Knee,Red,1.0,159.0
SUB,Rear Naked Choke,Red,1.0,187.0
KO/TKO,Punch,Blue,3.0,691.0
KO/TKO,Kick,Blue,1.0,53.0
KO/TKO,Punches,Red,1.0,260.0
KO/TKO,Punch,Red,2.0,342.0
KO/TKO,Punch,Red,1.0,267.0
KO/TKO,Punch,Blue,1.0,30.0
KO/TKO,Elbows,Blue,2.0,581.0
KO/TKO,Punch,Red,1.0,44.0
KO/TKO,Punches,Red,1.0,263.0
SUB,Rear Naked Choke,Red,1.0,195.0
KO/TKO,Punch,Blue,1.0,88.0
KO/TKO,Flying Knee,Red,2.0,411.0
KO/TKO,Punch,Red,2.0,321.0
SUB,Guillotine Choke,Red,1.0,198.0
SUB,Guillotine Choke,Red,1.0,248.0
SUB,Kimura,Red,1.0,128.0
SUB,Guillotine Choke,Red,3.0,819.0
KO/TKO,Punch,Blue,1.0,236.0
KO/TKO,Punch,Blue,1.0,277.0
KO/TKO,Kick,Blue,1.0,201.0
KO/TKO,Punch,Red,1.0,161.0
KO/TKO,Punches,Red,3.0,731.0
KO/TKO,Punch,Red,1.0,140.0
SUB,D'Arce Choke,Blue,2.0,357.0
SUB,Rear Naked Choke,Red,3.0,833.0
KO/TKO,Punches,Blue,5.0,1346.0
KO/TKO,Knee,Red,3.0,786.0
KO/TKO,Punch,Red,1.0,246.0
SUB,Rear Naked Choke,Red,3.0,861.0
SUB,Guillotine Choke,Red,2.0,599.0
SUB,Guillotine Choke,Blue,3.0,625.0
SUB,Rear Naked Choke,Blue,1.0,237.0
SUB,Rear Naked Choke,Red,2.0,366.0
KO/TKO,Punch,Red,1.0,35.0
SUB,Rear Naked Choke,Blue,1.0,255.0
KO/TKO,Punch,Blue,1.0,25.0
SUB,Rear Naked Choke,Red,4.0,976.0
SUB,Rear Naked Choke,Blue,2.0,412.0
KO/TKO,Kick,Red,3.0,767.0
KO/TKO,Punches,Red,2.0,448.0
KO/TKO,Punch,Red,2.0,516.0
SUB,Rear Naked Choke,Blue,3.0,751.0
SUB,Rear Naked Choke,Blue,1.0,172.0
KO/TKO,Punches,Red,1.0,297.0
KO/TKO,Punch,Blue,3.0,721.0
KO/TKO,,Red,2.0,430.0
SUB,Neck Crank,Red,1.0,138.0
SUB,Rear Naked Choke,Blue,1.0,38.0
KO/TKO,Elbows,Red,1.0,214.0
SUB,Anaconda Choke,Blue,2.0,572.0
SUB,Triangle Choke,Red,3.0,796.0
SUB,Armbar,Blue,1.0,274.0
KO/TKO,Punch,Blue,1.0,38.0
KO/TKO,Punch,Red,2.0,452.0
SUB,Rear Naked Choke,Red,1.0,137.0
KO/TKO,Punch,Blue,1.0,139.0
KO/TKO,Punches,Red,1.0,16.0
SUB,Rear Naked Choke,Red,3.0,669.0
KO/TKO,Punches,Red,1.0,61.0
KO/TKO,Punches,Red,1.0,210.0
KO/TKO,Punches,Blue,1.0,71.0
KO/TKO,Punches,Red,3.0,856.0
SUB,Armbar,Blue,3.0,829.0
KO/TKO,Kick,Red,2.0,511.0
KO/TKO,Kick,Red,1.0,186.0
KO/TKO,Punches,Blue,3.0,830.0
KO/TKO,Punch,Blue,1.0,144.0
KO/TKO,Punch,Red,3.0,891.0
KO/TKO,Punch,Blue,2.0,507.0
KO/TKO,Punch,Red,3.0,728.0
SUB,Arm Triangle,Red,2.0,432.0
SUB,Rear Naked Choke,Red,2.0,513.0
KO/TKO,Punches,Blue,1.0,297.0
KO/TKO,Punch,Red,1.0,245.0
SUB,Rear Naked Choke,Red,2.0,588.0
KO/TKO,Punch,Red,1.0,127.0
KO/TKO,Punches,Red,2.0,521.0
SUB,Rear Naked Choke,Blue,2.0,477.0
KO/TKO,Punch,Blue,2.0,395.0
KO/TKO,Punch,Blue,1.0,263.0
KO/TKO,Punches,Red,3.0,723.0
KO/TKO,Punch,Red,2.0,498.0
KO/TKO,Punch,Red,1.0,257.0
SUB,Omoplata,Red,1.0,138.0
SUB,Arm Triangle,Red,2.0,518.0
KO/TKO,Punch,Blue,1.0,151.0
SUB,Rear Naked Choke,Red,1.0,155.0
KO/TKO,Punch,Blue,2.0,320.0
KO/TKO,Punches,Red,3.0,827.0
KO/TKO,Knee,Red,4.0,957.0
KO/TKO,Punch,Blue,1.0,72.0
KO/TKO,Punch,Red,1.0,61.0
KO/TKO,Punches,Red,2.0,416.0
SUB,Guillotine Choke,Red,1.0,72.0
KO/TKO,Punch,Blue,2.0,413.0
KO/TKO,Punches,Blue,2.0,557.0
KO/TKO,Kick,Red,5.0,1340.0
SUB,Other - Choke,Red,2.0,414.0
KO/TKO,Elbows,Red,3.0,746.0
SUB,Guillotine Choke,Red,3.0,870.0
KO/TKO,,Red,2.0,434.0
SUB,Guillotine Choke,Red,2.0,347.0
KO/TKO,Punches,Red,1.0,41.0
KO/TKO,Punch,Blue,1.0,179.0
SUB,Armbar,Red,1.0,269.0
KO/TKO,Punch,Blue,2.0,451.0
SUB,Guillotine Choke,Red,1.0,273.0
SUB,Kimura,Red,2.0,424.0
KO/TKO,Elbows,Red,1.0,78.0
SUB,Rear Naked Choke,Red,2.0,398.0
SUB,Guillotine Choke,Blue,2.0,454.0
KO/TKO,Punch,Red,2.0,480.0
KO/TKO,Punch,Red,1.0,92.0
KO/TKO,Punches,Red,3.0,681.0
SUB,Kimura,Red,2.0,449.0
KO/TKO,Punch,Blue,1.0,106.0
SUB,Guillotine Choke,Red,2.0,596.0
KO/TKO,Punch,Blue,3.0,658.0
KO/TKO,Punch,Blue,1.0,191.0
KO/TKO,Kick,Red,1.0,63.0
KO/TKO,Kick,Blue,1.0,118.0
SUB,Rear Naked Choke,Red,1.0,126.0
KO/TKO,Punch,Blue,1.0,79.0
SUB,Other - Choke,Red,2.0,502.0
KO/TKO,Punch,Red,3.0,688.0
KO/TKO,Punches,Red,1.0,261.0
KO/TKO,Punches,Red,2.0,546.0
SUB,Kimura,Blue,1.0,256.0
SUB,Armbar,Red,1.0,297.0
SUB,Arm Triangle,Blue,1.0,208.0
SUB,Rear Naked Choke,Red,2.0,486.0
SUB,Rear Naked Choke,Red,1.0,226.0
KO/TKO,Punches,Blue,1.0,136.0
SUB,Rear Naked Choke,Red,2.0,412.0
KO/TKO,Kick,Blue,1.0,178.0
SUB,Guillotine Choke,Red,2.0,357.0
SUB,Kimura,Blue,1.0,267.0
KO/TKO,Kick,Blue,3.0,618.0
KO/TKO,Knee,Red,2.0,463.0
KO/TKO,Punch,Blue,2.0,399.0
KO/TKO,Punches,Red,2.0,589.0
KO/TKO,Knee,Blue,1.0,186.0
SUB,Rear Naked Choke,Red,1.0,255.0
KO/TKO,Punch,Blue,1.0,34.0
SUB,Rear Naked Choke,Blue,3.0,806.0
KO/TKO,Knees,Red,1.0,290.0
SUB,Guillotine Choke,Blue,1.0,218.0
KO/TKO,Flying Knee,Red,2.0,447.0
SUB,Rear Naked Choke,Red,2.0,404.0
SUB,Rear Naked Choke,Blue,1.0,286.0
KO/TKO,,Red,2.0,390.0
SUB,Neck Crank,Red,5.0,1496.0
KO/TKO,Punch,Blue,1.0,201.0
KO/TKO,Punches,Red,3.0,774.0
SUB,Armbar,Blue,1.0,112.0
KO/TKO,Kick,Blue,2.0,488.0
SUB,Other - Choke,Red,1.0,299.0
KO/TKO,Punch,Red,1.0,33.0
SUB,Rear Naked Choke,Red,2.0,559.0
KO/TKO,Punches,Red,1.0,290.0
SUB,Other - Choke,Red,2.0,394.0
SUB,Armbar,Red,1.0,293.0
SUB,Rear Naked Choke,Red,3.0,686.0
SUB,Armbar,Red,2.0,485.0
SUB,Guillotine Choke,Blue,1.0,277.0
SUB,Heel Hook,Blue,1.0,64.0
KO/TKO,Punch,Blue,1.0,119.0
SUB,Rear Naked Choke,Blue,1.0,112.0
KO/TKO,Punches,Blue,3.0,804.0
SUB,Injury,Blue,1.0,57.0
SUB,Rear Naked Choke,Red,3.0,846.0
KO/TKO,,Red,2.0,361.0
KO/TKO,Punches,Blue,3.0,897.0
SUB,Arm Triangle,Red,1.0,75.0
KO/TKO,Kick,Red,1.0,62.0
KO/TKO,Punches,Red,1.0,119.0
SUB,Rear Naked Choke,Blue,2.0,510.0
KO/TKO,Kick,Red,1.0,299.0
KO/TKO,Spinning Back Fist,Blue,2.0,429.0
KO/TKO,Punches,Blue,3.0,890.0
KO/TKO,Punch,Red,1.0,177.0
SUB,D'Arce Choke,Red,3.0,883.0
KO/TKO,Punch,Red,2.0,414.0
KO/TKO,Punches,Blue,3.0,731.0
KO/TKO,,Red,1.0,217.0
KO/TKO,Punch,Blue,1.0,206.0
KO/TKO,Punches,Blue,1.0,135.0
KO/TKO,Punches,Blue,1.0,8.0
KO/TKO,Punches,Red,2.0,338.0
SUB,Guillotine Choke,Red,1.0,84.0
KO/TKO,Punch,Blue,1.0,36.0
KO/TKO,Kick,Blue,2.0,339.0
SUB,Arm Triangle,Red,2.0,525.0
KO/TKO,Punches,Red,1.0,116.0
SUB,Rear Naked Choke,Red,4.0,1138.0
KO/TKO,Punches,Red,2.0,599.0
SUB,Rear Naked Choke,Red,3.0,682.0
SUB,Kimura,Red,3.0,776.0
KO/TKO,Punch,Blue,1.0,100.0
KO/TKO,Punches,Blue,1.0,214.0
KO/TKO,Elbow,Red,1.0,139.0
KO/TKO,Punches,Red,2.0,498.0
SUB,North-South Choke,Red,2.0,560.0
SUB,Rear Naked Choke,Blue,1.0,100.0
SUB,Armbar,Red,1.0,14.0
SUB,Rear Naked Choke,Red,1.0,157.0
SUB,Rear Naked Choke,Blue,2.0,458.0
KO/TKO,Punches,Red,2.0,547.0
KO/TKO,Punch,Blue,1.0,107.0
KO/TKO,Punches,Red,3.0,792.0
KO/TKO,Punch,Blue,2.0,422.0
KO/TKO,Punch,Red,2.0,393.0
KO/TKO,Punch,Blue,2.0,394.0
KO/TKO,Kick,Red,1.0,116.0
KO/TKO,Punch,Blue,3.0,694.0
SUB,Guillotine Choke,Red,1.0,261.0
SUB,Armbar,Red,3.0,854.0
SUB,Triangle Choke,Red,1.0,194.0
SUB,Rear Naked Choke,Blue,1.0,192.0
KO/TKO,Punches,Red,1.0,165.0
KO/TKO,Punch,Red,1.0,225.0
KO/TKO,Elbows,Red,1.0,239.0
SUB,Armbar,Blue,1.0,90.0
KO/TKO,Punches,Blue,2.0,395.0
KO/TKO,Punch,Blue,1.0,8.0
KO/TKO,Punch,Blue,3.0,858.0
SUB,Guillotine Choke,Blue,3.0,838.0
SUB,Arm Triangle,Blue,3.0,821.0
SUB,Armbar,Red,1.0,153.0
SUB,Rear Naked Choke,Blue,2.0,451.0
KO/TKO,Punch,Red,1.0,294.0
SUB,Arm Triangle,Blue,3.0,731.0
SUB,Armbar,Red,2.0,487.0
SUB,Armbar,Red,5.0,1499.0
KO/TKO,Punch,Red,1.0,293.0
SUB,Rear Naked Choke,Red,3.0,695.0
SUB,Armbar,Red,3.0,795.0
KO/TKO,Punch,Blue,1.0,299.0
KO/TKO,Punches,Blue,1.0,56.0
SUB,Rear Naked Choke,Red,1.0,249.0
KO/TKO,Punch,Blue,1.0,44.0
KO/TKO,Punch,Blue,1.0,49.0
KO/TKO,Kick,Blue,2.0,553.0
SUB,Guillotine Choke,Blue,1.0,293.0
KO/TKO,Punches,Red,5.0,1367.0
KO/TKO,Punches,Blue,2.0,384.0
SUB,Rear Naked Choke,Blue,1.0,236.0
SUB,Rear Naked Choke,Blue,3.0,759.0
KO/TKO,Punches,Red,1.0,173.0
KO/TKO,Kick,Red,2.0,584.0
SUB,Rear Naked Choke,Red,2.0,458.0
KO/TKO,Punches,Blue,1.0,281.0
SUB,Rear Naked Choke,Blue,1.0,171.0
KO/TKO,Punches,Blue,2.0,330.0
KO/TKO,Punches,Blue,1.0,298.0
SUB,Guillotine Choke,Blue,3.0,670.0
SUB,Guillotine Choke,Red,1.0,114.0
SUB,Guillotine Choke,Red,3.0,898.0
KO/TKO,Punch,Blue,1.0,97.0
SUB,Rear Naked Choke,Red,1.0,154.0
KO/TKO,Kick,Red,2.0,348.0
KO/TKO,Punch,Blue,3.0,850.0
KO/TKO,Punch,Blue,1.0,28.0
SUB,Guillotine Choke,Blue,1.0,23.0
SUB,Guillotine Choke,Blue,3.0,733.0
SUB,Guillotine Choke,Red,1.0,54.0
SUB,Guillotine Choke,Blue,3.0,701.0
KO/TKO,Punches,Red,3.0,862.0
KO/TKO,Kick,Red,2.0,390.0
SUB,Rear Naked Choke,Red,1.0,101.0
SUB,Rear Naked Choke,Red,1.0,177.0
KO/TKO,,Blue,2.0,504.0
KO/TKO,Punch,Red,1.0,172.0
SUB,Rear Naked Choke,Red,3.0,877.0
KO/TKO,Elbows,Blue,3.0,698.0
KO/TKO,Punches,Blue,2.0,487.0
KO/TKO,Punch,Blue,1.0,163.0
KO/TKO,Kick,Red,1.0,29.0
KO/TKO,Flying Knee,Blue,2.0,329.0
KO/TKO,Punch,Blue,2.0,597.0
KO/TKO,Flying Knee,Blue,3.0,632.0
SUB,Rear Naked Choke,Red,1.0,174.0
SUB,Guillotine Choke,Red,1.0,284.0
KO/TKO,Punch,Red,5.0,1260.0
SUB,Rear Naked Choke,Blue,3.0,758.0
KO/TKO,Punches,Blue,1.0,96.0
KO/TKO,Kick,Blue,1.0,269.0
KO/TKO,Elbow,Red,1.0,262.0
SUB,Rear Naked Choke,Red,1.0,172.0
SUB,Arm Triangle,Red,2.0,379.0
KO/TKO,Punch,Red,1.0,16.0
KO/TKO,Punch,Blue,2.0,517.0
KO/TKO,Punch,Red,1.0,73.0
SUB,Rear Naked Choke,Red,1.0,176.0
KO/TKO,Punch,Red,1.0,56.0
SUB,Triangle Choke,Red,1.0,185.0
KO/TKO,Punches,Blue,1.0,89.0
KO/TKO,Punches,Red,1.0,150.0
SUB,Rear Naked Choke,Blue,1.0,87.0
KO/TKO,Punch,Blue,2.0,327.0
KO/TKO,Punches,Red,1.0,157.0
KO/TKO,Punches,Red,4.0,935.0
KO/TKO,Punches,Red,1.0,43.0
KO/TKO,Punches,Red,2.0,341.0
SUB,Rear Naked Choke,Red,2.0,472.0
KO/TKO,Punch,Red,1.0,34.0
KO/TKO,Elbows,Red,2.0,458.0
SUB,Guillotine Choke,Red,2.0,551.0
SUB,Rear Naked Choke,Blue,3.0,760.0
KO/TKO,Punches,Red,1.0,139.0
KO/TKO,Punches,Red,3.0,778.0
SUB,Armbar,Red,2.0,435.0
SUB,Rear Naked Choke,Blue,1.0,173.0
KO/TKO,Punches,Red,1.0,152.0
KO/TKO,Punches,Blue,1.0,163.0
KO/TKO,,Red,1.0,99.0
KO/TKO,Punches,Red,1.0,285.0
KO/TKO,Punches,Blue,1.0,54.0
SUB,Armbar,Blue,1.0,261.0
KO/TKO,Punch,Red,2.0,328.0
SUB,Guillotine Choke,Blue,1.0,128.0
SUB,Rear Naked Choke,Blue,2.0,598.0
DQ,,Red,2.0,448.0
SUB,Armbar,Red,3.0,661.0
KO/TKO,Spinning Back Kick,Blue,2.0,325.0
KO/TKO,,Red,3.0,647.0
KO/TKO,Punch,Red,1.0,106.0
KO/TKO,Punches,Blue,1.0,175.0
KO/TKO,Punches,Red,3.0,675.0
KO/TKO,Punches,Blue,1.0,57.0
KO/TKO,Punches,Blue,3.0,898.0
KO/TKO,Punches,Blue,1.0,277.0
SUB,Guillotine Choke,Red,2.0,552.0
SUB,Rear Naked Choke,Blue,2.0,549.0
KO/TKO,Punch,Red,3.0,651.0
SUB,Guillotine Choke,Blue,1.0,39.0
DQ,Rear Naked Choke,Blue,1.0,105.0
KO/TKO,Punches,Red,2.0,372.0
KO/TKO,Punches,Red,1.0,264.0
KO/TKO,Kick,Red,1.0,127.0
KO/TKO,Punch,Blue,1.0,176.0
KO/TKO,Spinning Back Kick,Red,1.0,276.0
KO/TKO,Kick,Red,1.0,121.0
KO/TKO,Punch,Red,1.0,221.0
KO/TKO,Kick,Blue,2.0,359.0
KO/TKO,,Red,2.0,566.0
KO/TKO,Punches,Blue,1.0,193.0
KO/TKO,Slam,Red,3.0,627.0
KO/TKO,Punches,Red,1.0,191.0
KO/TKO,Punches,Red,2.0,410.0
SUB,Guillotine Choke,Red,2.0,558.0
SUB,Triangle Choke,Red,1.0,166.0
KO/TKO,Punches,Blue,3.0,738.0
SUB,Rear Naked Choke,Red,5.0,1345.0
SUB,Guillotine Choke,Red,2.0,341.0
KO/TKO,Punch,Red,1.0,265.0
SUB,D'Arce Choke,Blue,2.0,474.0
KO/TKO,Punch,Blue,2.0,568.0
KO/TKO,Punches,Blue,4.0,1092.0
KO/TKO,Knee,Blue,1.0,114.0
KO/TKO,Punch,Blue,1.0,13.0
KO/TKO,Punches,Red,1.0,206.0
SUB,Guillotine Choke,Red,1.0,86.0
KO/TKO,Punch,Blue,2.0,328.0
KO/TKO,Punch,Red,2.0,473.0
SUB,Anaconda Choke,Blue,1.0,133.0
SUB,Triangle Choke,Blue,3.0,850.0
KO/TKO,Punches,Blue,2.0,583.0
SUB,Triangle Choke,Blue,3.0,697.0
SUB,Rear Naked Choke,Red,2.0,429.0
KO/TKO,Punches,Red,1.0,192.0
KO/TKO,Punch,Red,1.0,54.0
SUB,Rear Naked Choke,Red,1.0,270.0
KO/TKO,Punch,Red,1.0,30.0
SUB,Rear Naked Choke,Blue,1.0,218.0
KO/TKO,Punches,Red,2.0,374.0
SUB,Rear Naked Choke,Red,3.0,836.0
KO/TKO,Punches,Red,2.0,553.0
KO/TKO,Knee,Blue,2.0,399.0
KO/TKO,Punches,Red,3.0,849.0
KO/TKO,Punches,Red,1.0,86.0
KO/TKO,Punches,Blue,1.0,239.0
SUB,Guillotine Choke,Blue,2.0,528.0
KO/TKO,Punches,Red,3.0,817.0
SUB,Rear Naked Choke,Red,3.0,782.0
SUB,Arm Triangle,Blue,2.0,486.0
KO/TKO,Punch,Red,1.0,137.0
KO/TKO,Punch,Blue,1.0,211.0
SUB,Rear Naked Choke,Red,1.0,45.0
KO/TKO,Elbow,Red,3.0,865.0
SUB,Neck Crank,Red,2.0,388.0
KO/TKO,Flying Knee,Blue,2.0,323.0
KO/TKO,Punches,Blue,3.0,865.0
KO/TKO,Knees,Red,1.0,26.0
KO/TKO,Punches,Red,1.0,258.0
KO/TKO,Kick,Blue,1.0,60.0
KO/TKO,Punches,Red,3.0,895.0
M-DEC,,Red,3.0,691.0
KO/TKO,Punch,Red,2.0,386.0
KO/TKO,Punch,Red,1.0,285.0
SUB,Rear Naked Choke,Red,1.0,24.0
SUB,Arm Triangle,Blue,3.0,851.0
SUB,Rear Naked Choke,Blue,2.0,552.0
SUB,Rear Naked Choke,Blue,5.0,1410.0
KO/TKO,Punches,Red,1.0,271.0
KO/TKO,Punch,Blue,2.0,334.0
KO/TKO,Kick,Red,2.0,369.0
KO/TKO,Elbow,Blue,1.0,135.0
KO/TKO,Punches,Red,3.0,696.0
KO/TKO,Punches,Blue,3.0,646.0
SUB,Rear Naked Choke,Red,3.0,885.0
KO/TKO,Punch,Blue,1.0,52.0
KO/TKO,Punch,Red,1.0,181.0
KO/TKO,Punches,Red,1.0,288.0
SUB,Rear Naked Choke,Blue,1.0,136.0
KO/TKO,Punches,Blue,1.0,244.0
KO/TKO,Punch,Red,1.0,164.0
KO/TKO,Punch,Red,1.0,224.0
SUB,Rear Naked Choke,Blue,2.0,380.0
KO/TKO,Punch,Blue,1.0,255.0
KO/TKO,Knee,Red,3.0,783.0
KO/TKO,Punch,Red,1.0,108.0
KO/TKO,Punches,Red,1.0,37.0
KO/TKO,Punches,Red,2.0,518.0
KO/TKO,Knees,Red,1.0,169.0
SUB,Arm Triangle,Red,1.0,275.0
KO/TKO,Kick,Red,2.0,435.0
SUB,Rear Naked Choke,Blue,2.0,495.0
KO/TKO,Punch,Red,2.0,372.0
KO/TKO,Punch,Blue,1.0,16.0
KO/TKO,Knee,Red,1.0,226.0
KO/TKO,Kick,Red,2.0,347.0
SUB,Rear Naked Choke,Red,2.0,491.0
KO/TKO,Punch,Blue,3.0,716.0
SUB,Rear Naked Choke,Red,3.0,871.0
KO/TKO,Punches,Red,1.0,278.0
KO/TKO,Punch,Red,1.0,219.0
KO/TKO,Punches,Blue,2.0,541.0
SUB,Rear Naked Choke,Red,2.0,482.0
KO/TKO,Spinning Back Kick,Red,2.0,366.0
KO/TKO,Punches,Blue,1.0,173.0
KO/TKO,Punch,Red,1.0,256.0
KO/TKO,Knee,Red,3.0,880.0
KO/TKO,Elbow,Red,2.0,387.0
KO/TKO,Punch,Red,1.0,173.0
KO/TKO,Punches,Blue,2.0,476.0
KO/TKO,Punches,Blue,2.0,551.0
KO/TKO,Punch,Blue,1.0,216.0
SUB,Rear Naked Choke,Blue,3.0,819.0
SUB,Rear Naked Choke,Red,3.0,654.0
KO/TKO,Punches,Red,3.0,755.0
SUB,Arm Triangle,Red,3.0,682.0
SUB,Rear Naked Choke,Red,3.0,748.0
KO/TKO,Kick,Blue,3.0,764.0
SUB,Armbar,Red,2.0,399.0
SUB,Rear Naked Choke,Red,1.0,25.0
SUB,Rear Naked Choke,Red,2.0,484.0
KO/TKO,Flying Knee,Blue,2.0,377.0
KO/TKO,Punches,Blue,1.0,229.0
KO/TKO,Punches,Blue,1.0,246.0
SUB,D'Arce Choke,Red,1.0,223.0
KO/TKO,Punches,Blue,1.0,86.0
KO/TKO,Punch,Red,1.0,272.0
KO/TKO,Punches,Red,1.0,138.0
SUB,Rear Naked Choke,Blue,1.0,196.0
KO/TKO,Elbows,Red,1.0,156.0
KO/TKO,Punch,Blue,1.0,297.0
SUB,Guillotine Choke,Blue,1.0,163.0
SUB,Rear Naked Choke,Blue,2.0,599.0
KO/TKO,Elbows,Red,2.0,581.0
SUB,Arm Triangle,Red,3.0,859.0
KO/TKO,Punches,Red,2.0,529.0
SUB,D'Arce Choke,Red,2.0,442.0
SUB,Rear Naked Choke,Red,1.0,119.0
KO/TKO,Punches,Red,1.0,94.0
KO/TKO,Punches,Blue,3.0,714.0
SUB,Rear Naked Choke,Red,2.0,538.0
KO/TKO,Punches,Red,1.0,14.0
KO/TKO,Punches,Blue,1.0,147.0
KO/TKO,Kick,Blue,1.0,106.0
KO/TKO,Kick,Red,2.0,340.0
KO/TKO,Punch,Blue,1.0,132.0
SUB,Rear Naked Choke,Red,1.0,109.0
KO/TKO,Punches,Red,2.0,385.0
SUB,Rear Naked Choke,Red,3.0,778.0
KO/TKO,Kick,Blue,2.0,353.0
SUB,Guillotine Choke,Blue,1.0,270.0
KO/TKO,Punch,Red,1.0,13.0
KO/TKO,Punches,Red,3.0,738.0
KO/TKO,Punch,Blue,1.0,218.0
M-DEC,,Blue,5.0,1500.0
KO/TKO,Elbows,Blue,1.0,248.0
KO/TKO,Kick,Blue,2.0,422.0
KO/TKO,Punches,Red,2.0,476.0
SUB,Guillotine Choke,Red,3.0,709.0
SUB,Rear Naked Choke,Red,1.0,112.0
KO/TKO,Kick,Red,2.0,317.0
KO/TKO,Punches,Red,2.0,596.0
KO/TKO,Punch,Blue,1.0,73.0
SUB,Rear Naked Choke,Blue,3.0,773.0
KO/TKO,Elbows,Red,3.0,766.0
KO/TKO,Knee,Red,2.0,426.0
SUB,Rear Naked Choke,Blue,1.0,134.0
KO/TKO,Punch,Red,1.0,105.0
SUB,Guillotine Choke,Red,1.0,278.0
SUB,Rear Naked Choke,Red,2.0,349.0
KO/TKO,Punches,Blue,3.0,859.0
SUB,D'Arce Choke,Red,1.0,19.0
KO/TKO,Punches,Blue,1.0,95.0
SUB,Guillotine Choke,Blue,3.0,618.0
SUB,Guillotine Choke,Red,2.0,380.0
KO/TKO,Punches,Blue,1.0,101.0
SUB,Rear Naked Choke,Red,3.0,837.0
KO/TKO,,Red,3.0,745.0
SUB,Rear Naked Choke,Red,1.0,183.0
KO/TKO,Punch,Red,1.0,60.0
KO/TKO,Elbows,Blue,2.0,422.0
SUB,Armbar,Red,2.0,583.0
SUB,Guillotine Choke,Blue,1.0,143.0
KO/TKO,Punches,Blue,3.0,810.0
SUB,Triangle Choke,Blue,1.0,119.0
KO/TKO,Knee,Blue,3.0,880.0
SUB,Armbar,Blue,3.0,776.0
SUB,Rear Naked Choke,Red,3.0,781.0
KO/TKO,Punches,Blue,2.0,580.0
SUB,Rear Naked Choke,Red,1.0,262.0
KO/TKO,Punch,Blue,2.0,458.0
SUB,D'Arce Choke,Red,2.0,401.0
KO/TKO,Punches,Blue,2.0,463.0
KO/TKO,Spinning Back Fist,Blue,3.0,753.0
SUB,Heel Hook,Blue,1.0,97.0
SUB,Guillotine Choke,Red,2.0,433.0
KO/TKO,Flying Knee,Blue,3.0,624.0
KO/TKO,Punches,Blue,2.0,484.0
SUB,Kimura,Red,3.0,751.0
KO/TKO,Punches,Blue,1.0,202.0
KO/TKO,Punches,Red,1.0,79.0
SUB,Arm Triangle,Red,2.0,431.0
KO/TKO,Punch,Blue,1.0,53.0
KO/TKO,Punches,Red,1.0,277.0
KO/TKO,Punch,Red,2.0,346.0
SUB,Rear Naked Choke,Red,1.0,136.0
SUB,Rear Naked Choke,Red,2.0,571.0
SUB,Guillotine Choke,Red,3.0,732.0
KO/TKO,Punch,Blue,2.0,520.0
SUB,Guillotine Choke,Blue,1.0,67.0
KO/TKO,Elbows,Red,3.0,783.0
SUB,Guillotine Choke,Red,2.0,415.0
KO/TKO,Punches,Red,3.0,831.0
KO/TKO,Punches,Red,2.0,397.0
SUB,Armbar,Red,2.0,542.0
SUB,Rear Naked Choke,Blue,1.0,247.0
KO/TKO,Kick,Red,1.0,247.0
KO/TKO,Punches,Blue,2.0,426.0
KO/TKO,Elbow,Blue,2.0,507.0
KO/TKO,Punches,Blue,1.0,245.0
KO/TKO,Punch,Red,1.0,227.0
SUB,Arm Triangle,Red,2.0,472.0
KO/TKO,Punches,Red,2.0,456.0
KO/TKO,Punches,Red,4.0,1122.0
SUB,Kimura,Red,1.0,117.0
KO/TKO,Punches,Red,2.0,474.0
KO/TKO,Knee,Red,2.0,385.0
KO/TKO,Kick,Red,3.0,634.0
KO/TKO,Kick,Blue,1.0,100.0
KO/TKO,Punches,Red,3.0,890.0
SUB,Guillotine Choke,Blue,1.0,278.0
SUB,Rear Naked Choke,Red,2.0,477.0
KO/TKO,Punches,Blue,3.0,765.0
KO/TKO,Punches,Red,1.0,184.0
SUB,Armbar,Blue,2.0,419.0
SUB,Rear Naked Choke,Blue,1.0,201.0
SUB,Rear Naked Choke,Blue,2.0,400.0
KO/TKO,Punches,Red,1.0,48.0
SUB,Arm Triangle,Blue,1.0,270.0
KO/TKO,Punch,Blue,1.0,214.0
SUB,Other - Choke,Red,1.0,177.0
