date,event,referee,r_fighter,b_fighter,finish,totalfighttimesecs,finishround,heightdif,agedif,reachdif,r_odds,b_odds,r_avgkd,b_avgkd,r_avgsigstratt,b_avgsigstratt,r_avgsigstrlanded,b_avgsigstrlanded,r_avgtdatt,b_avgtdatt,r_avgtdlanded,b_avgtdlanded,r_avgsubatt,b_avgsubatt,r_avgctrltime,b_avgctrltime
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Herb Dean,Keith Jardine,Matt Hamill,M-DEC,900.0,3.0,-2.54,1.0,0.0,140.0,-150.0,0.08,0.25,76.25,43.13,39.42,27.11,0.63,1.27,0.25,1.89,0.0,0.0,17.48,22.16
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Kim Winslow,Spencer Fisher,Dennis Siver,U-DEC,900.0,3.0,-2.54,3.0,0.0,-190.0,165.0,0.13,0.57,61.7,169.7,34.25,22.38,1.1,3.12,0.58,0.5,0.67,0.25,100.86,55.02
2010-07-03,UFC 116: Lesnar vs Carwin,Herb Dean,Brendan Schaub,Chris Tuchscherer,KO/TKO,67.0,1.0,-5.08,-7.0,-5.08,-305.0,275.0,0.5,0.0,42.0,32.5,18.5,12.0,0.0,3.5,0.0,0.5,0.0,0.5,1.5,128.5
2010-07-03,UFC 116: Lesnar vs Carwin,Josh Rosenthal,Brock Lesnar,Shane Carwin,SUB,439.0,2.0,-2.54,-3.0,-2.54,-145.0,135.0,0.38,0.88,45.5,38.62,34.75,17.75,2.38,1.25,2.25,0.25,0.25,0.0,310.62,84.75
2010-07-03,UFC 116: Lesnar vs Carwin,Herb Dean,Chris Leben,Yoshihiro Akiyama,SUB,880.0,3.0,-2.54,-5.0,-2.54,177.0,-192.0,0.05,0.0,90.81,156.0,27.8,55.0,1.06,4.0,1.0,3.0,0.27,0.0,213.87,191.0
2010-07-03,UFC 116: Lesnar vs Carwin,Steve Mazzagatti,Chris Lytle,Matt Brown,SUB,422.0,2.0,2.54,6.0,17.78,-180.0,168.0,0.02,0.5,109.06,33.56,30.94,28.33,0.95,0.38,0.56,0.33,1.31,1.5,36.21,72.56
2010-07-03,UFC 116: Lesnar vs Carwin,Steve Mazzagatti,Forrest Petz,Daniel Roberts,S-DEC,900.0,3.0,2.54,5.0,7.62,170.0,-200.0,0.31,0.0,147.69,17.0,32.4,7.0,0.38,1.0,1.2,1.0,0.0,1.0,143.12,55.0
2010-07-03,UFC 116: Lesnar vs Carwin,Josh Rosenthal,George Sotiropoulos,Kurt Pellegrino,U-DEC,900.0,3.0,-5.08,1.0,-2.54,-158.0,148.0,0.0,0.12,80.0,42.52,18.0,21.8,3.12,2.69,2.2,2.0,2.0,0.7,298.88,439.83
2010-07-03,UFC 116: Lesnar vs Carwin,Herb Dean,Gerald Harris,David Branch,KO/TKO,755.0,3.0,5.08,2.0,2.54,-250.0,210.0,1.0,,59.0,,19.0,,1.0,,0.5,,0.0,,69.5,
2010-07-03,UFC 116: Lesnar vs Carwin,Mario Yamasaki,Jon Madsen,Karlos Vemola,U-DEC,900.0,3.0,0.0,6.0,7.62,125.0,-145.0,0.0,,98.5,,29.0,,1.0,,0.5,,0.0,,3.0,
2010-07-03,UFC 116: Lesnar vs Carwin,Mario Yamasaki,Kendall Grove,Goran Reljic,S-DEC,900.0,3.0,-7.62,1.0,5.08,130.0,-140.0,0.56,0.5,27.96,56.5,19.7,26.5,0.26,0.5,0.3,0.5,1.6,1.5,80.5,96.5
2010-07-03,UFC 116: Lesnar vs Carwin,Mario Yamasaki,Krzysztof Soszynski,Stephan Bonnar,KO/TKO,488.0,2.0,7.62,-1.0,2.54,-190.0,175.0,0.12,0.0,103.31,89.91,25.8,29.0,1.88,2.79,0.6,0.73,0.6,1.0,104.12,157.54
2010-07-03,UFC 116: Lesnar vs Carwin,Steve Mazzagatti,Seth Petruzelli,Ricardo Romero,SUB,485.0,2.0,0.0,-2.0,0.0,150.0,-170.0,0.5,,44.0,,16.5,,0.5,,0.5,,0.5,,12.5,
