r_fighter,b_fighter,date,month,year,gender,location,city,state,country,finish,finishdetails,finishround,totalfighttimesecs,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,b_odds,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,r_matchwcrank,r_pfprank,b_matchwcrank,b_pfprank
Richie Vaculik,Roldan Sangcha-an,2014-06-28,6,2014,MALE,"Auckland, New Zealand",Auckland,,New Zealand,,,,,False,Flyweight,3.0,0.0,-5.08,8.0,-10.16,-125.0,31.0,Orthodox,167.64,175.26,125.0,115.0,23.0,Orthodox,162.56,165.1,125.0,,,,
Robert Whittaker,Mike Rhodes,2014-06-28,6,2014,MALE,"Auckland, New Zealand",Auckland,,New Zealand,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,2.54,-1.0,2.54,-250.0,23.0,Orthodox,182.88,185.42,185.0,230.0,24.0,Orthodox,185.42,187.96,170.0,,,,
Soa Palelei,Jared Rosholt,2014-06-28,6,2014,MALE,"Auckland, New Zealand",Auckland,,New Zealand,U-DEC,,3.0,900.0,False,Heavyweight,3.0,0.0,-5.08,9.0,-15.24,155.0,36.0,Orthodox,193.04,205.74,265.0,-165.0,27.0,Orthodox,187.96,190.5,265.0,14.0,,,
Chris Camozzi,Bruno Santos,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,S-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,-12.7,1.0,-17.78,-240.0,27.0,Orthodox,187.96,193.04,185.0,220.0,26.0,Orthodox,175.26,175.26,185.0,,,,
Chris Weidman,Lyoto Machida,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,5.0,1500.0,True,Middleweight,5.0,0.0,-2.54,-6.0,-10.16,-185.0,30.0,Orthodox,187.96,198.12,185.0,170.0,36.0,Southpaw,185.42,187.96,185.0,0.0,5.0,3.0,
George Roop,Rob Font,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punch,1.0,139.0,False,Bantamweight,3.0,0.0,-12.7,5.0,-2.54,-185.0,32.0,Orthodox,185.42,182.88,135.0,170.0,27.0,Orthodox,172.72,180.34,135.0,,,,
Kenny Robertson,Ildemar Alcantara,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,10.16,-1.0,10.16,115.0,30.0,Orthodox,177.8,187.96,170.0,-125.0,31.0,Orthodox,187.96,198.12,185.0,,,,
Luke Zachrich,Guilherme Vasconcelos,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,-5.08,4.0,0.0,160.0,32.0,Orthodox,187.96,187.96,185.0,-170.0,28.0,Orthodox,182.88,187.96,185.0,,,,
Marcus Brimage,Russell Doane,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,S-DEC,,3.0,900.0,False,Bantamweight,3.0,0.0,7.62,2.0,-2.54,-115.0,29.0,Southpaw,162.56,180.34,135.0,105.0,27.0,Orthodox,170.18,177.8,135.0,,,,
Ronda Rousey,Alexis Davis,2014-07-05,7,2014,FEMALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,16.0,True,Women's Bantamweight,5.0,0.0,-2.54,-2.0,0.0,-900.0,27.0,Orthodox,170.18,172.72,135.0,700.0,29.0,Orthodox,167.64,172.72,125.0,0.0,10.0,2.0,
Uriah Hall,Thiago Santos,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,5.08,-1.0,-7.62,-310.0,29.0,Orthodox,182.88,200.66,185.0,255.0,30.0,Orthodox,187.96,193.04,205.0,,,,
Urijah Faber,Alex Caceres,2014-07-05,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,SUB,Rear Naked Choke,3.0,669.0,False,Bantamweight,3.0,0.0,10.16,9.0,15.24,-705.0,35.0,Orthodox,167.64,170.18,135.0,570.0,26.0,Southpaw,177.8,185.42,145.0,2.0,,11.0,
Adriano Martins,Juan Puig,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,,,,,False,Lightweight,3.0,0.0,-2.54,6.0,0.0,-420.0,31.0,Southpaw,177.8,182.88,155.0,375.0,25.0,Orthodox,175.26,182.88,145.0,,,,
Corey Anderson,Matt Van Buren,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,61.0,True,Light Heavyweight,4.0,0.0,5.08,-4.0,-7.62,-265.0,24.0,Orthodox,190.5,200.66,205.0,245.0,28.0,Orthodox,195.58,193.04,205.0,,,,
Derrick Lewis,Guto Inocente,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,210.0,False,Heavyweight,3.0,0.0,0.0,1.0,-5.08,-185.0,29.0,Orthodox,190.5,200.66,260.0,170.0,28.0,Orthodox,190.5,195.58,205.0,,,,
Dhiego Lima,Eddie Gordon,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,71.0,True,Middleweight,4.0,0.0,-5.08,-5.0,5.08,-150.0,25.0,Orthodox,187.96,187.96,170.0,140.0,30.0,Orthodox,182.88,193.04,185.0,,,,
Frankie Edgar,BJ Penn,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,3.0,856.0,False,Featherweight,5.0,0.0,7.62,-3.0,5.08,-370.0,32.0,Orthodox,167.64,172.72,145.0,330.0,35.0,Orthodox,175.26,177.8,155.0,3.0,,,
Jesse Ronson,Kevin Lee,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,S-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-2.54,7.0,12.7,200.0,28.0,Southpaw,177.8,182.88,155.0,-220.0,21.0,Orthodox,175.26,195.58,170.0,,,,
Jumabieke Tuerxun,Leandro Issa,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,SUB,Armbar,3.0,829.0,False,Bantamweight,3.0,0.0,0.0,-2.0,5.08,115.0,28.0,Orthodox,170.18,170.18,135.0,-125.0,30.0,Orthodox,170.18,175.26,135.0,,,,
Justin Scoggins,Dustin Ortiz,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,S-DEC,,3.0,900.0,False,Flyweight,3.0,0.0,-5.08,-3.0,-2.54,-290.0,22.0,Southpaw,170.18,167.64,125.0,260.0,25.0,Orthodox,165.1,165.1,125.0,,,13.0,
Patrick Walsh,Daniel Spohn,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Light Heavyweight,3.0,0.0,12.7,-4.0,20.32,210.0,25.0,Southpaw,180.34,180.34,185.0,-230.0,29.0,Southpaw,193.04,200.66,205.0,,,,
Sarah Moras,Alexis Dufresne,2014-07-06,7,2014,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Catch Weight,3.0,0.0,5.08,3.0,2.54,210.0,26.0,Orthodox,170.18,170.18,135.0,-230.0,23.0,Orthodox,175.26,172.72,135.0,,,,
Claudia Gadelha,Tina Lahdemaki,2014-07-16,7,2014,FEMALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,U-DEC,,3.0,900.0,False,Women's Strawweight,3.0,0.0,-5.08,-1.0,-2.54,-560.0,25.0,Orthodox,162.56,160.02,115.0,475.0,26.0,Orthodox,157.48,157.48,115.0,,,,
Donald Cerrone,Jim Miller,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Kick,2.0,511.0,False,Lightweight,5.0,0.0,-12.7,1.0,-5.08,-240.0,31.0,Orthodox,185.42,185.42,155.0,220.0,30.0,Southpaw,172.72,180.34,155.0,6.0,,7.0,
Edson Barboza,Evan Dunham,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Kick,1.0,186.0,False,Lightweight,3.0,0.0,-2.54,-4.0,-12.7,-320.0,28.0,Orthodox,180.34,190.5,155.0,260.0,32.0,Southpaw,177.8,177.8,155.0,13.0,,,
Gleison Tibau,Pat Healy,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,5.08,0.0,7.62,-165.0,30.0,Southpaw,177.8,180.34,155.0,155.0,30.0,Orthodox,182.88,187.96,155.0,,,,
Hugo Viana,Aljamain Sterling,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Punches,3.0,830.0,False,Bantamweight,3.0,0.0,2.54,7.0,10.16,230.0,31.0,Orthodox,167.64,170.18,135.0,-250.0,24.0,Orthodox,170.18,180.34,135.0,,,,
Jessamyn Duke,Leslie Smith,2014-07-16,7,2014,FEMALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Punch,1.0,144.0,False,Women's Bantamweight,3.0,0.0,-5.08,-3.0,-17.78,120.0,28.0,Orthodox,180.34,185.42,135.0,-130.0,31.0,Orthodox,175.26,167.64,135.0,14.0,,,
John Lineker,Alptekin Ozkilic,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Punch,3.0,891.0,False,Flyweight,3.0,0.0,5.08,-4.0,-5.08,-345.0,24.0,Orthodox,160.02,170.18,135.0,315.0,28.0,Orthodox,165.1,165.1,125.0,7.0,,,
Justin Salas,Joe Proctor,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Punch,2.0,507.0,False,Lightweight,3.0,0.0,5.08,4.0,5.08,-135.0,32.0,Southpaw,172.72,177.8,155.0,125.0,28.0,Orthodox,177.8,182.88,155.0,,,,
Lucas Martins,Alex White,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,Punch,3.0,728.0,False,Featherweight,3.0,0.0,0.0,0.0,-2.54,155.0,25.0,Southpaw,182.88,182.88,145.0,-175.0,25.0,Southpaw,182.88,180.34,155.0,,,,
Rick Story,Leonardo Mafra,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,SUB,Arm Triangle,2.0,432.0,False,Welterweight,3.0,0.0,2.54,4.0,-2.54,-300.0,29.0,Southpaw,175.26,180.34,170.0,270.0,25.0,Orthodox,177.8,177.8,155.0,,,,
Yosdenis Cedeno,Jerrod Sanders,2014-07-16,7,2014,MALE,"Atlantic City, New Jersey, USA",Atlantic City,New Jersey,USA,KO/TKO,,1.0,300.0,False,Lightweight,3.0,0.0,0.0,-5.0,7.62,170.0,29.0,Orthodox,172.72,175.26,155.0,-185.0,34.0,Orthodox,172.72,182.88,135.0,,,,
Brad Pickett,Ian McCall,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,U-DEC,,3.0,900.0,False,Flyweight,3.0,0.0,-2.54,5.0,-10.16,149.0,35.0,Orthodox,167.64,172.72,135.0,-159.0,30.0,Orthodox,165.1,162.56,125.0,10.0,,3.0,
Cathal Pendred,Mike King,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,SUB,Rear Naked Choke,2.0,513.0,False,Middleweight,3.0,0.0,5.08,-4.0,0.0,-130.0,26.0,Orthodox,185.42,190.5,170.0,120.0,30.0,Orthodox,190.5,190.5,185.0,,,,
Cody Donovan,Nikita Krylov,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,KO/TKO,Punches,1.0,297.0,False,Light Heavyweight,3.0,0.0,0.0,11.0,7.62,115.0,33.0,Orthodox,190.5,187.96,205.0,-125.0,22.0,Orthodox,190.5,195.58,205.0,,,,
Conor McGregor,Diego Brandao,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,KO/TKO,Punch,1.0,245.0,False,Featherweight,5.0,0.0,-5.08,-1.0,-15.24,-690.0,26.0,Southpaw,175.26,187.96,155.0,560.0,27.0,Orthodox,170.18,172.72,145.0,13.0,,,
Gunnar Nelson,Zak Cummings,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,SUB,Rear Naked Choke,2.0,588.0,False,Welterweight,3.0,0.0,2.54,-4.0,7.62,-840.0,25.0,Switch,180.34,182.88,170.0,660.0,29.0,Southpaw,182.88,190.5,185.0,13.0,,,
Ilir Latifi,Chris Dempsey,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,KO/TKO,Punch,1.0,127.0,False,Light Heavyweight,3.0,0.0,0.0,4.0,-2.54,-295.0,30.0,Orthodox,177.8,185.42,205.0,265.0,26.0,Orthodox,177.8,182.88,185.0,,,,
Neil Seery,Phil Harris,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,U-DEC,,3.0,900.0,False,Flyweight,3.0,0.0,0.0,4.0,0.0,-155.0,34.0,Orthodox,162.56,162.56,125.0,145.0,30.0,Orthodox,162.56,162.56,125.0,,,,
Norman Parke,Naoyuki Kotani,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,KO/TKO,Punches,2.0,521.0,False,Lightweight,3.0,0.0,-7.62,-5.0,-10.16,-460.0,27.0,Southpaw,180.34,177.8,155.0,410.0,32.0,Southpaw,172.72,167.64,155.0,,,,
Paddy Holohan,Joshua Sampo,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,,,,,False,Flyweight,3.0,0.0,-15.24,-3.0,-12.7,225.0,26.0,Orthodox,177.8,175.26,125.0,-245.0,29.0,Orthodox,162.56,162.56,125.0,,,,
Tor Troeng,Trevor Smith,2014-07-19,7,2014,MALE,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,2.54,-2.0,-5.08,-155.0,31.0,Orthodox,187.96,195.58,185.0,145.0,33.0,Orthodox,190.5,190.5,185.0,,,,
Akbarh Arreola,Tiago Trator,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,,,,,False,Lightweight,3.0,0.0,-2.54,4.0,-2.54,275.0,31.0,Southpaw,177.8,180.34,155.0,-305.0,27.0,Orthodox,175.26,177.8,145.0,,,,
Andreas Stahl,Gilbert Burns,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-2.54,-2.0,-5.08,135.0,26.0,Orthodox,180.34,185.42,170.0,-145.0,28.0,Orthodox,177.8,180.34,155.0,,,,
Anthony Johnson,Rogerio Nogueira,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,KO/TKO,Punch,1.0,44.0,False,Light Heavyweight,3.0,0.0,0.0,-8.0,-7.62,-660.0,30.0,Orthodox,187.96,198.12,205.0,540.0,38.0,Southpaw,187.96,190.5,205.0,5.0,,,
Clay Guida,Dennis Bermudez,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,SUB,Rear Naked Choke,2.0,477.0,False,Featherweight,3.0,0.0,-2.54,5.0,-10.16,155.0,32.0,Orthodox,170.18,177.8,155.0,-175.0,27.0,Orthodox,167.64,167.64,155.0,7.0,,12.0,
Daron Cruickshank,Jorge Masvidal,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,7.62,0.0,5.08,215.0,29.0,Switch,172.72,182.88,155.0,-235.0,29.0,Orthodox,180.34,187.96,170.0,,,14.0,
Hernani Perpetuo,Tim Means,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,5.08,-1.0,2.54,167.0,29.0,Orthodox,182.88,187.96,170.0,-179.0,30.0,Orthodox,187.96,190.5,170.0,,,,
Josh Thomson,Bobby Green,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,S-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,0.0,8.0,0.0,-380.0,35.0,Orthodox,177.8,180.34,155.0,340.0,27.0,Orthodox,177.8,180.34,155.0,3.0,,13.0,
Juliana Lima,Joanna Jedrzejczyk,2014-07-26,7,2014,FEMALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,3.0,900.0,False,Women's Strawweight,3.0,0.0,2.54,6.0,0.0,285.0,32.0,Orthodox,165.1,165.1,115.0,-315.0,26.0,Orthodox,167.64,165.1,125.0,,,,
Kyle Kingsbury,Patrick Cummins,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,3.0,900.0,False,Light Heavyweight,3.0,0.0,-5.08,-1.0,0.0,205.0,32.0,Orthodox,193.04,193.04,205.0,-225.0,33.0,Orthodox,187.96,193.04,205.0,,,,
Robbie Lawler,Matt Brown,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,5.0,1500.0,False,Welterweight,5.0,0.0,2.54,-1.0,2.54,-325.0,32.0,Southpaw,180.34,187.96,170.0,295.0,33.0,Orthodox,182.88,190.5,170.0,1.0,,5.0,
Steven Siler,Noad Lahat,2014-07-26,7,2014,MALE,"San Jose, California, USA",San Jose,California,USA,U-DEC,,3.0,900.0,False,Featherweight,3.0,0.0,-5.08,-3.0,-2.54,-210.0,27.0,Orthodox,180.34,177.8,145.0,190.0,30.0,Orthodox,175.26,175.26,145.0,,,,
Gray Maynard,Ross Pearson,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,KO/TKO,Punch,2.0,395.0,False,Lightweight,3.0,0.0,-2.54,6.0,-2.54,150.0,35.0,Orthodox,175.26,177.8,155.0,-160.0,29.0,Orthodox,172.72,175.26,155.0,12.0,,,
Jussier Formiga,Zach Makovsky,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,U-DEC,,3.0,900.0,False,Flyweight,3.0,0.0,-2.54,-2.0,-7.62,290.0,29.0,Orthodox,165.1,170.18,125.0,-320.0,31.0,Southpaw,162.56,162.56,125.0,6.0,,9.0,
Nolan Ticman,Frankie Saenz,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,U-DEC,,3.0,900.0,False,Bantamweight,3.0,0.0,0.0,-8.0,-7.62,110.0,26.0,Orthodox,167.64,175.26,125.0,-120.0,34.0,Orthodox,167.64,167.64,135.0,,,,
Ryan Bader,Ovince Saint Preux,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,U-DEC,,5.0,1500.0,False,Light Heavyweight,5.0,0.0,2.54,0.0,15.24,-185.0,31.0,Orthodox,187.96,187.96,205.0,170.0,31.0,Southpaw,190.5,203.2,205.0,8.0,,10.0,
Sara McMann,Lauren Murphy,2014-08-16,8,2014,FEMALE,"Bangor, Maine, USA",Bangor,Maine,USA,S-DEC,,3.0,900.0,False,Women's Bantamweight,3.0,0.0,2.54,2.0,2.54,-570.0,33.0,Orthodox,167.64,167.64,135.0,480.0,31.0,Orthodox,170.18,170.18,125.0,4.0,,,
Seth Baczynski,Alan Jouban,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,KO/TKO,Punch,1.0,263.0,False,Welterweight,3.0,0.0,-7.62,0.0,-2.54,-155.0,32.0,Orthodox,190.5,187.96,170.0,145.0,32.0,Southpaw,182.88,185.42,170.0,,,,
Shawn Jordan,Jack May,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,KO/TKO,Punches,3.0,723.0,False,Heavyweight,3.0,0.0,20.32,-4.0,10.16,-200.0,29.0,Southpaw,182.88,190.5,260.0,185.0,33.0,Switch,203.2,200.66,255.0,,,,
Thiago Tavares,Robert Peralta,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,SUB,Rear Naked Choke,1.0,267.0,False,Featherweight,3.0,0.0,2.54,1.0,7.62,-135.0,29.0,Orthodox,170.18,172.72,145.0,125.0,28.0,Orthodox,172.72,180.34,145.0,,,,
Tim Boetsch,Brad Tavares,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,KO/TKO,Punch,2.0,498.0,False,Middleweight,3.0,0.0,2.54,7.0,0.0,285.0,33.0,Orthodox,182.88,187.96,185.0,-315.0,26.0,Orthodox,185.42,187.96,185.0,14.0,,,
Tom Watson,Sam Alvey,2014-08-16,8,2014,MALE,"Bangor, Maine, USA",Bangor,Maine,USA,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,2.54,4.0,5.08,-125.0,32.0,Orthodox,185.42,185.42,185.0,115.0,28.0,Southpaw,187.96,190.5,205.0,,,,
Aaron Phillips,Matt Hobar,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,U-DEC,,3.0,900.0,False,Bantamweight,3.0,0.0,2.54,-2.0,0.0,145.0,25.0,Southpaw,175.26,177.8,135.0,-155.0,27.0,Southpaw,177.8,177.8,135.0,,,,
Alberto Mina,Shinsho Anzai,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,KO/TKO,Punch,1.0,257.0,False,Welterweight,3.0,0.0,-12.7,4.0,-17.78,-225.0,32.0,Orthodox,182.88,195.58,170.0,205.0,28.0,Orthodox,170.18,177.8,170.0,,,,
An Ying Wang,Colby Covington,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,,,,,False,Welterweight,3.0,0.0,-2.54,-3.0,0.0,380.0,23.0,Orthodox,182.88,182.88,170.0,-430.0,26.0,Orthodox,180.34,182.88,170.0,,,,
Ben Saunders,Chris Heatherly,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,SUB,Omoplata,1.0,138.0,False,Welterweight,3.0,0.0,-12.7,5.0,-22.86,-385.0,31.0,Orthodox,187.96,195.58,170.0,345.0,26.0,Orthodox,175.26,172.72,155.0,,,,
Beneil Dariush,Anthony Rocco Martin,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,SUB,Arm Triangle,2.0,518.0,False,Lightweight,3.0,0.0,5.08,1.0,2.54,130.0,25.0,Southpaw,177.8,182.88,155.0,-140.0,24.0,Orthodox,182.88,185.42,170.0,,,,
Benson Henderson,Rafael Dos Anjos,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,KO/TKO,Punch,1.0,151.0,False,Lightweight,5.0,0.0,-2.54,1.0,0.0,-510.0,30.0,Southpaw,175.26,177.8,170.0,440.0,29.0,Southpaw,172.72,177.8,170.0,1.0,13.0,5.0,
Chas Skelly,Tom Niinimaki,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,SUB,Rear Naked Choke,1.0,155.0,False,Featherweight,3.0,0.0,-5.08,-3.0,-7.62,145.0,29.0,Orthodox,180.34,182.88,145.0,-155.0,32.0,Orthodox,175.26,175.26,145.0,,,,
Elizabeth Phillips,Milana Dudieva,2014-08-23,8,2014,FEMALE,"Macau, China",Macau,,China,S-DEC,,3.0,900.0,False,Women's Bantamweight,3.0,0.0,-7.62,3.0,-10.16,130.0,28.0,Orthodox,167.64,165.1,135.0,-150.0,25.0,Orthodox,160.02,154.94,135.0,,,,
Francis Carmont,Thales Leites,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,KO/TKO,Punch,2.0,320.0,False,Middleweight,3.0,0.0,-5.08,0.0,0.0,-210.0,32.0,Orthodox,190.5,198.12,205.0,190.0,32.0,Orthodox,185.42,198.12,185.0,12.0,,15.0,
James Vick,Valmir Lazaro,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-7.62,-2.0,-7.62,-125.0,27.0,Orthodox,190.5,193.04,155.0,115.0,29.0,Orthodox,182.88,185.42,155.0,,,,
Max Holloway,Clay Collard,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,KO/TKO,Punches,3.0,827.0,False,Catch Weight,3.0,0.0,0.0,1.0,10.16,-950.0,22.0,Orthodox,180.34,175.26,155.0,625.0,21.0,Orthodox,180.34,185.42,145.0,,,,
Michael Bisping,Cung Le,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,KO/TKO,Knee,4.0,957.0,False,Middleweight,5.0,0.0,-10.16,-7.0,-15.24,-235.0,35.0,Orthodox,185.42,190.5,185.0,215.0,42.0,Southpaw,175.26,175.26,185.0,8.0,,,
Mike Pyle,Jordan Mein,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,KO/TKO,Punch,1.0,72.0,False,Welterweight,3.0,0.0,0.0,14.0,-2.54,245.0,38.0,Orthodox,182.88,187.96,170.0,-265.0,24.0,Orthodox,182.88,185.42,170.0,13.0,,,
Neil Magny,Alex Garcia,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-15.24,0.0,-20.32,135.0,27.0,Orthodox,190.5,203.2,170.0,-145.0,27.0,Orthodox,175.26,182.88,170.0,,,,
Ning Guangyou,Jianping Yang,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,,,,,True,Featherweight,4.0,0.0,7.62,7.0,2.54,205.0,32.0,Southpaw,162.56,162.56,145.0,-225.0,25.0,Orthodox,170.18,165.1,145.0,,,,
Roland Delorme,Ulka Sasaki,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,,,,,False,Bantamweight,3.0,0.0,2.54,6.0,0.0,130.0,30.0,Orthodox,175.26,180.34,135.0,-140.0,24.0,Southpaw,177.8,180.34,125.0,,,,
Sai Wang,Danny Mitchell,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,5.08,0.0,5.08,175.0,28.0,Southpaw,182.88,182.88,170.0,-190.0,28.0,Orthodox,187.96,187.96,170.0,,,,
Tyron Woodley,Dong Hyun Kim,2014-08-23,8,2014,MALE,"Macau, China",Macau,,China,KO/TKO,Punch,1.0,61.0,False,Welterweight,3.0,0.0,12.7,0.0,5.08,-210.0,32.0,Orthodox,175.26,187.96,170.0,190.0,32.0,Southpaw,187.96,193.04,170.0,4.0,,10.0,
Wilson Reis,Joby Sanchez,2014-08-23,8,2014,MALE,"Tulsa, Oklahoma, USA",Tulsa,Oklahoma,USA,U-DEC,,3.0,900.0,False,Flyweight,3.0,0.0,5.08,6.0,7.62,-335.0,29.0,Southpaw,162.56,165.1,125.0,305.0,23.0,Orthodox,167.64,172.72,135.0,,,,
